category,category_description,risk_level
ads,Advertising,medium
adult,Adult Content,high
aichat,AI Chat Services,low
alcohol,Alcohol-related Content,medium
any,General/Uncategorized,low
audio-video,Audio and Video Streaming,low
chat,Chat Services,medium
checked,Verified/Whitelisted,low
dating,Dating Services,medium
dnsoverhttps,DNS over HTTPS,low
education,Education and Learning,low
entertain,Entertainment,low
error,Error/Non-existent,low
extappl,External Applications,medium
finance,Financial Services,medium
food,Food and Dining,low
forum,Forums and Discussion Boards,medium
gambling,Gambling,high
games,Gaming,low
health,Health and Wellness,low
housing,Housing and Real Estate,low
jobs,Job Search and Employment,low
malware,Malware and Malicious,critical
news,News and Media,low
parkeddomain,Parked Domains,low
private,Private/Internal,low
proxies,Proxy Services,high
qmovies,Movie Streaming,low
religion,Religious Content,medium
safe,Safe/Child-friendly,low
searchengine,Search Engine,low
shops,Shopping and E-commerce,low
socialnet,Social Networking,medium
sports,Sports,low
trading,Trading and Investments,medium
travel,Travel and Tourism,low
unresolved,Unresolved/Unknown,low
webmail,Webmail Services,low
webradio,Web Radio,low
webtv,Web TV,low
